,newDates,snips,items,sources,URL
1,"Friday, March 16, 2018","The H7N1 strain of the avian flu virus has been found at a poultry farm in Hopkins County, Texas.",H7N1 strain found in Texas,Asian Agribiz,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
2,"Friday, January 19, 2018",Highly pathogenic H5N6 bird flu has been detected in wild birds in Warwickshire,APHA: Bird flu detected in wild birds in Warwickshire,APHA,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
3,"Thursday, January 18, 2018","The Department for Environment, Food and Rural Affairs (Defra) has today (18 January) declared a bird flu prevention zone across the whole of England, requiring all bird keepers to follow strict biosecurity measures.",BVA and BVPA respond to new bird flu prevention zone announcement,BVA/BVPA,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
4,"Monday, January 15, 2018","The Department for Environment, Food and Rural Affairs (Defra) on 12 January confirmed that Avian Influenza of the H5N6 strain has been detected in 17 wild birds in Dorset.",BVA and BVP respond to confirmation of Avian Influenza in wild birds in Dorset,BVA,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
5,"Friday, January 12, 2018",Highly pathogenic H5N6 bird flu has been detected in wild birds in Dorset. ,APHA: Bird Flu detected in wild birds in Dorset,APHA,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
6,"Monday, January 08, 2018",SOUTH KOREA - The World Organisation for Animal Health (OIE) has reported two further outbreaks of highly pathogenic H5N6 bird flu in farms located in the provinces of Gyeonggi and South Jeolla.,"Two More H5N6 Bird Flu Outbreaks in Gyeonggi, South Jeolla Provinces",ThePoultrySite News Desk,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
7,"Monday, January 08, 2018","IRAN - Some 100 million egg-laying hens have been infected with the deadly avian flu in Iran and so far 1.20 trillion rials ($27.75 million) have been paid to chicken farmers over their losses, the deputy head at the Agricultural Crops Insurance Fund said.",100 Million Chickens Infected With Avian Flu,Financial Tribune,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
8,"Monday, January 08, 2018",Hundreds of infected chickens have been culled by the animal husbandry department in Dasarahalli and Yelahanka zone to contain the deadly bird flu.,942 Chickens Culled in Bengaluru,Deccan Herald,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
9,"Friday, January 05, 2018","INDIA - With eight chickens dying due to suspected H5N1 virus infection on December 29 at a retail outlet at Bhuvaneshwari Nagar in Dasarahalli, the state health and family welfare department on Wednesday began awareness campaigns to put in place preventive measures. They chickens were supplied from Tamil Nadu on December 28.",Suspected Bird Flu Sees BBMP Cull 50 Chickens,The Times of India,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
10,"Friday, January 05, 2018","INDIA - The bird flu scare that's gripping the city following the death of eight chickens due to avian flu has affected sale of chicken meat. Over the last three days, the city has seen a 20-25% dip in sales of chicken meat and eggs, said Dr B G Puttanna, head of the technical committee in Karnataka Poultry Framers' and Breeders' Association (KPFBA).","Chicken, Egg Sales Dip Due to Bird Flu Scare",The Times of India,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
11,"Thursday, January 04, 2018",UAE - The UAE has banned the import of chicken and eggs from the Netherlands following an alert from the World Organisation for Animal Health on a highly contagious H5N8 bird flu strain.,"Netherlands Chicken, Egg Imports Latest to be Banned by UAE",The National,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
12,"Thursday, January 04, 2018","SAUDI ARABIA - Health authorities in Saudi Arabia have banned the transfer of live birds inside the country, after a fresh outbreak of bird flu in the kingdom on Saturday, the official Saudi news agency SPA said.",Saudi Arabia Bans Transport of Live Poultry,Arabian Business,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
13,"Wednesday, January 03, 2018","SOUTH KOREA - Dr Oh Soon-Min, Director General, Chief Veterinary Officer at the Animal Health Policy Bureau of the Ministry of Agriculture has reported two outbreaks of highly pathogenic avian influenza at two farms located in South Jeolla Province.",High-path H5N6 Bird Flu Detected at South Jeolla Province Poultry Farms,ThePoultrySite News Desk,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
14,"Wednesday, January 03, 2018","SAUDI ARABIA - Dr Ali Al Doweriej, Director General of Veterinary Health and Monitoring Department, has reported three further outbreaks of high-path H5N8 bird flu, all in Riyadh.",OIE Reports Three More HPAI Outbreaks in Riyadh,ThePoultrySite News Desk,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
15,"Wednesday, January 03, 2018",INDIA - One case of H5N1 Avian Influenza (bird flu) was detected in chicken at a poultry shop in Dasarahalli on Kempapura Main Road. The shop has been shut since December 30. Poultry shops in a 1-km radius of that shop too have been shut down by the health department.,Bengaluru: Dead Chicken Tests Positive for Bird Flu,The New Indian Express,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
16,"Tuesday, January 02, 2018","SAUDI ARABIA - The United Arab Emirates (UAE) has blocked all poultry imports from Saudi Arabia following an outbreak of bird flu in its capital Riyadh, reports Chris McCullough.",Imports Blocked Following Bird Flu Outbreak in Saudi Arabia,ThePoultrySite News Desk,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
17,"Tuesday, January 02, 2018","IRAN - Around 17 million chickens have been culled in Iran so far, due to the recent outbreak of aviation flu, the chairman of the board of directors at Tehran‰Ûªs Union of Producers of Egg-Laying Chicken said.",Avian Flu Epidemic Forces Cull of 17m Chickens,Financial Tribune,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
18,"Tuesday, January 02, 2018","UAE - The UAE banned live birds from the central region of Kostromskaya Oblast in Russia following an outbreak of the highly contagious H5N2 bird flu strain, the Ministry of Climate Change and Environment (MOCCAE) said on Tuesday.",Highly Contagious Virus Prompts UAE to Ban Chicken Eggs and Meat from Russia ,The National,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
19,"Tuesday, January 02, 2018","RUSSIA - On 29 December 2017, Dr Evgeny Nepoklonov, Vice-minister at the Ministry of Agriculture, sent the World Organisation for Animal Health (OIE) a report, notifying them of an outbreak of highly pathogenic H5N2 bird flu.",OIE Reports Highly Pathogenic H5N2 Bird Flu Outbreak in Kostroma Oblast,ThePoultrySite News Desk,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php
20,"Thursday, December 28, 2017",BAHRAIN - The Kingdom has banned poultry imports from Saudi Arabia amid a reported bird flu outbreak there in the past week.,Poultry Imports from Saudi Banned in Bahrain,DT News,http://www.thepoultrysite.com/bird-flu/bird-flu-news.php